timestamp,spot,oi_C_0.000000,oi_C_0.100000,oi_C_0.200000,oi_C_0.300000,oi_C_0.400000,oi_C_0.500000,oi_C_0.600000,oi_C_0.700000,oi_C_0.800000,oi_C_0.900000,oi_P_0.000000,oi_P_0.100000,oi_P_0.200000,oi_P_0.300000,oi_P_0.400000,oi_P_0.500000,oi_P_0.600000,oi_P_0.700000,oi_P_0.800000,oi_P_0.900000,ntp_C_0.000000,ntp_C_0.100000,ntp_C_0.200000,ntp_C_0.300000,ntp_C_0.400000,ntp_C_0.500000,ntp_C_0.600000,ntp_C_0.700000,ntp_C_0.800000,ntp_C_0.900000,ntp_P_0.000000,ntp_P_0.100000,ntp_P_0.200000,ntp_P_0.300000,ntp_P_0.400000,ntp_P_0.500000,ntp_P_0.600000,ntp_P_0.700000,ntp_P_0.800000,ntp_P_0.900000,volume_C_0.000000,volume_C_0.100000,volume_C_0.200000,volume_C_0.300000,volume_C_0.400000,volume_C_0.500000,volume_C_0.600000,volume_C_0.700000,volume_C_0.800000,volume_C_0.900000,volume_P_0.000000,volume_P_0.100000,volume_P_0.200000,volume_P_0.300000,volume_P_0.400000,volume_P_0.500000,volume_P_0.600000,volume_P_0.700000,volume_P_0.800000,volume_P_0.900000
09:20:00.0000000000,3218443.8276,1259480.0000,258080.0000,1205600.0000,460020.0000,542440.0000,227500.0000,345920.0000,60680.0000,99120.0000,139560.0000,2454460.0000,889180.0000,444640.0000,779300.0000,300800.0000,298700.0000,78220.0000,35420.0000,52980.0000,3920.0000,801113300,861878900,4671562300,4125606800,5775002600,3602153000,3314025200,2662453100,463361800,205451300,731865100,1834064400,2850347300,4701522000,4738731000,4738731000,3287390800,2502430500,492267100,58584900,922920,307560,1056720,445640,363960,159780,112720,41880,7380,2060,819480,641860,345700,616340,338840,318020,170400,104620,35520,1520
09:25:00.0000000000,3215748.7786,1253040.0000,1176920.0000,501220.0000,540960.0000,621020.0000,254800.0000,362960.0000,72580.0000,79060.0000,179320.0000,2530760.0000,958820.0000,468420.0000,867040.0000,418520.0000,374820.0000,104180.0000,62520.0000,63120.0000,4060.0000,509989800,2430207900,2458026300,3927529200,4354367700,2048591300,2315304300,877797800,400430900,194056800,513760200,1462783400,1480632600,4164101700,4286858000,4286858000,2183565300,1885048000,686232800,90356300,1512480,1671720,838780,855880,676520,266080,203020,66340,14500,7460,1353940,1095440,600420,1102860,610120,573020,267300,168140,56580,1760
09:30:00.0000000000,3216042.0543,1278640.0000,1310540.0000,541080.0000,593080.0000,673940.0000,278400.0000,370300.0000,76380.0000,81360.0000,180720.0000,2524400.0000,991260.0000,507960.0000,911120.0000,447660.0000,397200.0000,110520.0000,67980.0000,63520.0000,4100.0000,330845000,1789469100,1453537100,2624065800,3227626900,1775746000,1905835000,538170400,444473900,515621000,403433500,1020957900,966477900,3100140400,3224456600,3224456600,1612874700,1560882800,436821000,19310100,1927140,2238300,1073980,1137140,914100,360360,278940,82700,25120,15080,1815940,1416340,770160,1466160,832100,763200,337920,216160,72240,1820
09:35:00.0000000000,3209294.9889,1629640.0000,1029380.0000,565340.0000,1324580.0000,283880.0000,359520.0000,76780.0000,49880.0000,129820.0000,80160.0000,2257960.0000,725740.0000,579100.0000,518120.0000,906520.0000,447400.0000,379820.0000,97820.0000,126600.0000,9680.0000,560977700,2231521000,2121803700,3522399300,4532712600,3358531400,3450355900,1354300600,338934100,841341400,664702000,1494034900,3304792800,7281526500,6431990300,6431990300,3664011800,2395430800,1389505100,117734900,3697880,1957800,1483660,2864220,555620,433820,121440,31440,35760,2440,1974760,1414320,1137200,1157240,2175140,1264460,1122840,472780,380280,12240
09:40:00.0000000000,3213398.0155,1309240.0000,1412880.0000,550820.0000,702000.0000,697140.0000,313080.0000,364000.0000,77380.0000,86620.0000,175020.0000,2590200.0000,1023720.0000,523440.0000,931020.0000,479220.0000,358540.0000,94520.0000,61600.0000,65840.0000,4640.0000,469074100,1369472900,1445242900,3112292700,2937760100,2201522800,1682066700,461046300,881296200,187976200,359593600,910188800,2015696400,4035405500,3358864000,3358864000,1928197200,1582689500,979174100,135544100,3034900,3626620,1766940,1892720,1561080,690060,517600,136600,49000,43500,2909020,2417100,1372740,2543140,1514220,1320000,520640,336200,118780,3060
09:45:00.0000000000,3214439.9194,1320460.0000,1458880.0000,546880.0000,733640.0000,741980.0000,311880.0000,367220.0000,77360.0000,85660.0000,171500.0000,2625960.0000,1090740.0000,565280.0000,993440.0000,507540.0000,380300.0000,95980.0000,56100.0000,64060.0000,4700.0000,322736500,1206093300,1112850300,2140864800,3083075900,1797657100,2318099000,594401300,432708000,403520900,394031500,1052860700,1106652900,3429059200,2851395600,2851395600,1301570600,1167428400,525286100,31265500,3421020,4033640,1969300,2145520,1806640,792240,615380,153240,61900,49600,3271720,2717480,1552740,2917920,1696400,1477180,574720,373760,132540,3260
09:50:00.0000000000,3213577.2808,1337700.0000,1489100.0000,552100.0000,756860.0000,761200.0000,323480.0000,370860.0000,78620.0000,85680.0000,171340.0000,2627460.0000,1100560.0000,575180.0000,1011080.0000,518560.0000,391200.0000,101060.0000,55600.0000,62840.0000,4720.0000,198682800,960101800,782737200,1663438000,2225869100,1583385700,1928279700,562401900,375834400,182057400,225872600,957734700,767863700,2538027600,2254858000,2254858000,1046407100,614371500,258021300,37593000,3670240,4380100,2121080,2354780,1994200,886340,700100,171140,72140,52300,3473680,2990360,1673100,3190520,1828460,1599000,617720,393340,138800,3860
09:55:00.0000000000,3211173.9129,1729700.0000,1163340.0000,573740.0000,792580.0000,805840.0000,347720.0000,387280.0000,134980.0000,56780.0000,146360.0000,2639800.0000,1132880.0000,593940.0000,1060200.0000,545140.0000,392340.0000,0.0000,163720.0000,57120.0000,10620.0000,413608600,860772600,827579200,1291808600,1995129300,1410459500,907728800,313067400,102508900,88402800,293634700,664061600,702364500,1999634700,1780276600,1780276600,417973200,715099600,214925000,40467000,5704700,3071940,2296380,2529080,2173300,974620,741660,239920,25280,44680,3708240,3190440,1780020,3402260,1942040,1694240,0,1052060,132840,15580
10:00:00.0000000000,3208449.5383,1681940.0000,1150120.0000,1357520.0000,827840.0000,371240.0000,391780.0000,89200.0000,54860.0000,123100.0000,80500.0000,2630980.0000,481300.0000,1273680.0000,0.0000,1067700.0000,545380.0000,381220.0000,104280.0000,50180.0000,66360.0000,528395400,1207116200,3177839700,3946902500,2839246300,2024915200,1619142400,323734900,308019000,118256500,277964500,466665000,2190740600,3653473400,3773684500,3773684500,4526120900,2267305200,1534915600,312630100,6308060,3450920,5492920,2573320,1181440,864500,209900,64840,73460,4100,3971740,1472800,4080080,0,3851700,2218440,1935640,720160,450800,163960
10:05:00.0000000000,3206623.8119,1671880.0000,1751400.0000,772060.0000,842440.0000,389340.0000,396080.0000,91500.0000,53780.0000,123420.0000,80500.0000,2328120.0000,762700.0000,666280.0000,597320.0000,1060600.0000,539760.0000,359000.0000,103800.0000,41220.0000,63220.0000,405191100,1597785000,1912916600,3071189300,2707102200,2265476600,545864400,513034500,463976700,26204700,200037000,681560700,1404589200,1708606400,4091931200,4091931200,4503687100,2262666200,1530739000,650553000,6773020,6577480,3217300,2907340,1384700,985600,231440,79200,84160,4240,3186240,2723280,2335980,2273340,4321640,2486740,2150100,801460,488940,182340
