Time,Bnft_Vega_Pnl,Bnft_Vega,Nifty_Vega_Pnl,Nifty_Vega,Bnft_Delta_Pnl,Bnft_Delta,Nifty_Delta_Pnl,Nifty_Delta,Bnft_Theta_Pnl,Bnft_Theta,Nifty_Theta_Pnl,Nifty_Theta,Total_Bnft_Pnl,Total_Nifty_Pnl,Mean,Indicator,Beta,Regression_Error,Theo_Margin,Actual_Margin,Bnft_Slippage,Nifty_Slippage,Theo_P_Bnft,Actual_P_Bnft,Theo_C_Bnft,Actual_C_Bnft,Theo_P_Nifty,Actual_P_Nifty,Theo_C_Nifty,Actual_C_Nifty
09:16:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55112e-15,5.55112e-15,0.74748,0.35,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:16:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.488328,-0.385419,0.599414,1.16788,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:17:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256031,0.0480034,0.598687,0.836954,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:17:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0819813,0.147169,0.6014,0.705759,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:18:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0730738,0.110511,0.601073,0.61543,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:18:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0561465,-0.0646964,0.60118,0.552807,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:19:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153829,0.271815,0.602063,0.515478,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:19:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162221,0.171335,0.602934,0.484666,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:20:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219548,0.152223,0.60316,0.454412,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:20:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681659,0.380976,0.60453,0.454828,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:21:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109588,0.33272,0.605907,0.459419,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:21:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144391,0.57241,0.607167,0.462356,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:22:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175753,0.51463,0.608386,0.468095,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:22:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192284,0.287527,0.609225,0.463549,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:23:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18905,0.0507523,0.60952,0.449128,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:23:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188652,0.289874,0.609856,0.43684,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:24:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186428,-0.0412554,0.610124,0.425739,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:24:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175771,0.0382339,0.610132,0.413172,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:25:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176578,0.194548,0.610424,0.404632,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:25:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183127,0.253638,0.610865,0.400055,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:26:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186565,0.283727,0.611219,0.394065,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:26:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195725,0.254286,0.611728,0.393791,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:27:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204179,0.490958,0.612216,0.393276,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:27:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19944,-0.0173193,0.612334,0.387755,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:28:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18511,-0.0797082,0.612161,0.380939,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:28:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177971,0.0135502,0.612168,0.373336,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:29:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168084,-0.10779,0.612081,0.366562,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:29:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1594,0.0205678,0.612011,0.360055,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:30:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149294,-0.193622,0.611885,0.354604,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:30:30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14368,-0.0814282,0.611872,0.35,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:31:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138283,-0.0580133,0.611854,0.35,0,4e+07,0,0,0,0,0,0,0,0,0,0
09:31:30.0,2713.82,-1.79387e+06,-2388.68,2.90234e+06,5.48592,6.49999,25.2475,132.75,143.423,1.25391e+06,-139.802,-1.21555e+06,983.124,-4473.62,0.120305,-0.508745,0.611474,0.35,2.17668e+07,1.9358e+07,-346.875,11.25,-110,-110,-106,-106,154,144,152,151
09:32:00.0,2473.16,-3.36039e+06,10705,5.58337e+06,-978.904,103.25,694.367,-505.5,852.342,2.38148e+06,-845.072,-2.42907e+06,-132.667,6354.14,0.106798,-0.182716,0.611198,0.35,4.11321e+07,-1.13181e+06,-518.75,-361.875,-220,-220,-216,-216,319,318,290,290
09:32:30.0,-245.226,-3.35887e+06,13432.2,5.58604e+06,-595.174,92,927.939,-512.25,1681.62,2.38995e+06,-1691.19,-2.44103e+06,-2131.35,8750.92,0.097195,-0.19355,0.611018,0.35,4.11321e+07,-1.13217e+06,-518.75,-378.75,-220,-220,-216,-216,319,319,290,290
09:33:00.0,-2977.87,-2.65806e+06,13934.4,4.37736e+06,-1537.51,146.75,5905.03,-824.25,2476.99,1.90051e+06,-2504.04,-1.92099e+06,-3929.91,12732.8,0.088455,-0.363353,0.610851,0.35,3.35118e+07,-1.13217e+06,-518.75,-378.75,-174,-174,-173,-173,248,248,233,233
09:33:30.0,-4705.28,-3.29044e+06,18943.8,5.43677e+06,-1700.54,159,5945.21,-846,3278.46,2.35841e+06,-3310.34,-2.3887e+06,-5483.26,16258.2,0.0753433,-0.295538,0.61055,0.35,4.00481e+07,-47122.2,-673.125,-476.25,-214,-214,-212,-212,298,298,296,296
09:34:00.0,-1219.48,-3.28602e+06,13533.2,5.4435e+06,-761.148,66,3702.28,-408.75,4097.52,2.35248e+06,-4138.89,-2.37695e+06,-939.329,7916.02,0.0643647,-0.335297,0.610297,0.35,4.00481e+07,-47122.2,-673.125,-476.25,-214,-214,-212,-212,298,298,296,296
09:34:30.0,12043.7,-2.74947e+06,-7504.14,4.49885e+06,-2426.73,151.75,9244.56,-656.25,4838.69,1.9456e+06,-4889.4,-1.92212e+06,12513.1,-8354.43,0.0528363,-0.60466,0.610021,0.35,3.43241e+07,6.78199e+06,-1098.12,-300,-177,-177,-178,-178,239,239,258,257
09:35:00.0,22147.6,-3.26968e+06,1602.5,5.40946e+06,-5882.7,270.75,15416.9,-1277.25,5629.6,2.30008e+06,-5671.02,-2.33258e+06,20333.8,4728.57,0.0350052,-0.28502,0.609559,0.354725,4.02381e+07,-239697,-1084.38,-380.625,-212,-212,-216,-216,283,283,316,316
09:35:30.0,35689.3,-2.11066e+06,-4968.9,3.51705e+06,-7578.86,211,19697.3,-681,6267.85,1.46885e+06,-6320.06,-1.50545e+06,34147,1585.76,0.0280399,-0.0958945,0.609391,0.352427,2.30608e+07,-239697,-1084.38,-380.625,-120,-139,-124,-141,154,179,185,211
09:36:00.0,30912.8,-1.32799e+06,-2179.07,2.19247e+06,-5388.02,99.25,17463.7,-233.25,6618.68,931395,-6678.18,-945248,31648,3297.64,0.0233309,-0.132952,0.609279,0.35,1.64521e+07,-239697,-1084.38,-380.625,-88,-88,-86,-86,115,115,125,125
09:36:30.0,32125.2,0,-716.226,0,-5398.15,0,18146.2,0,6692.74,0,-6780.64,0,33694.2,6035.9,0.0213962,-0.0845642,0.609242,0.35,0,-239697,-1084.38,-380.625,0,0,0,0,0,0,0,0
09:37:00.0,32145.5,-180275,-727.975,314469,-5345.87,-15.25,18208.7,11.25,6710.47,123225,-6798.61,-128587,33311.4,5786.22,0.0157319,-0.207395,0.609099,0.35,2.04858e+06,3.79509e+07,-1341.25,-697.5,-9,-9,-11,-11,11,11,17,17
09:37:30.0,32160.3,-180329,-767.658,316033,-5606.79,-22.25,18278.7,32.25,6753.27,123460,-6843.35,-129382,33161.3,5760,0.0111381,-0.198452,0.608981,0.35,2.04858e+06,3.79509e+07,-1341.25,-697.5,-9,-9,-11,-11,11,11,17,17
